职位id,职位标题,薪资范围,公司名称,工作地点,所处行业,学历要求,每周天数,实习时长,福利待遇,职位描述,简历要求,截止日期,详细地址,详情页url
inn_due8rb0bbrek,GO语言-大数据开发-北京,400/天,Shopee,北京,互联网/游戏/软件,本科,5天／周,实习3个月,一对一导师,"【职位描述】 DE

1. 负责shopee电商增长业务的基础数据建设工作，打造高效可用的离线数据系统；

2.负责基础数据维表，特征数据，业务报表等数据的开发工作；

3.负责业务数据的分析，充分理解业务逻辑，能够通过数据分析发现，解释，解决业务中潜在问题；



【任职要求】

1. 良好的代码能力，熟悉Python/java中的一种编程语言，了解C++/C/go编程；

2.良好的数据结构算法基础,有一定的离在线系统开发实践经验;

3.熟悉大数据计算平台架构，掌握Hadoop、HBase、Flink、Spark、Kafka，ES，ClickHouse等大数据开发工具中一种或几种；

4.对电商业务有一定了解，搜广推相关系统技术架构有一定了解；

5.具备较强的责任感，学习能力强，工作认真细心，具备较强合作精神；

6.具备较强的自我驱动力与抗压能力，并乐于不断尝试、追求业务突破；", 中文,2025-12-08,北京市/北京市/海淀区 启迪科技大厦D座,https://www.shixiseng.com/intern/inn_due8rb0bbrek?pcm=pc_SearchList
inn_i2ciodbfzne9,大数据开发实习生-国际化广告创意与品牌,400/天,字节跳动,北京,互联网/游戏/软件,本科,5天／周,实习4个月,团队氛围好；晋升空间大；扁平管理；用户过亿；大牛带队；免费三餐；弹性工作,"职位描述:
日常实习：面向全体在校生，为符合岗位要求的同学提供为期3个月及以上的项目实践机会。
团队介绍：国际商业化产品与技术团队支持字节跳动国际产品的广告产品与变现技术。国际化广告创意与生态系统团队致力于为广告创意的生产、解读及优化开发全球领先的技术解决方案。我们的使命是赋能并激发生态内的广告主、创作者及第三方合作伙伴，为终端用户打造并交付最具吸引力的创意体验。
我们以用户为中心，执着于技术卓越，力求在广告技术与创意行业引领技术创新。我们的目标是为产品赋能，并为客户、创作者及整个生态系统创造价值。

1、参与营销产品数据开发，通过系统化整合广告、受众、媒体、内容等多维度数据帮助客户制定更高效的营销策略，驱动业务增长；
2、满足各区域市场差异化需求、行业特性和合规要求，支持广告业务标准化、高效落地；
3、负责核心数据链路的开发与优化，包括数据建模、任务开发、数据治理、调度和交付，支撑多维、异构、跨地域的数据流转；
4、深入理解业务逻辑，抽象业务需求，沉淀标准化的数据产品和数据资产；
5、持续优化数据质量、稳定性和交付效率，提升平台的可维护性和可扩展性；
6、与后端、产品、算法、前端等团队协作，将数据能力转化为客户可感知的高质量数据产品，助力客户决策。 

职位要求:
1、2027届计算机、软件工程、数据相关专业本科及以上学历，扎实的数据结构、数据库和编程基础；
2、熟练掌握至少一种主流编程语言（如Java/Scala/Python）和大数据开发框架；
3、了解Hive/Spark/Flink等主流数据开发生态，具备数据建模、ETL开发、调度治理等实践经验；
4、良好的逻辑思维能力、沟通能力和团队合作意识，能主动推动问题解决；
5、每周可实习4天以上，可实习3个月以上。", 不限,2025-12-12,中国大陆北京市朝阳区七圣中街12号院融中心B座，邮编：100020,https://www.shixiseng.com/intern/inn_i2ciodbfzne9?pcm=pc_SearchList
inn_2ztpcjdmvzgi,大数据开发实习生-国际化广告创意与品牌,400/天,字节跳动,上海,互联网/游戏/软件,本科,4天／周,实习4个月,免费三餐；团队氛围好；扁平管理,"职位描述
日常实习：面向全体在校生，为符合岗位要求的同学提供为期3个月及以上的项目实践机会。
团队介绍：国际商业化产品与技术团队支持字节跳动国际产品的广告产品与变现技术。国际化广告创意与生态系统团队致力于为广告创意的生产、解读及优化开发全球领先的技术解决方案。我们的使命是赋能并激发生态内的广告主、创作者及第三方合作伙伴，为终端用户打造并交付最具吸引力的创意体验。
我们以用户为中心，执着于技术卓越，力求在广告技术与创意行业引领技术创新。我们的目标是为产品赋能，并为客户、创作者及整个生态系统创造价值。

1、参与营销产品数据开发，通过系统化整合广告、受众、媒体、内容等多维度数据帮助客户制定更高效的营销策略，驱动业务增长；
2、满足各区域市场差异化需求、行业特性和合规要求，支持广告业务标准化、高效落地；
3、负责核心数据链路的开发与优化，包括数据建模、任务开发、数据治理、调度和交付，支撑多维、异构、跨地域的数据流转；
4、深入理解业务逻辑，抽象业务需求，沉淀标准化的数据产品和数据资产；
5、持续优化数据质量、稳定性和交付效率，提升平台的可维护性和可扩展性；
6、与后端、产品、算法、前端等团队协作，将数据能力转化为客户可感知的高质量数据产品，助力客户决策。
职位要求
1、2027届计算机、软件工程、数据相关专业本科及以上学历，扎实的数据结构、数据库和编程基础；
2、熟练掌握至少一种主流编程语言（如Java/Scala/Python）和大数据开发框架；
3、了解Hive/Spark/Flink等主流数据开发生态，具备数据建模、ETL开发、调度治理等实践经验；
4、良好的逻辑思维能力、沟通能力和团队合作意识，能主动推动问题解决；
5、每周可实习4天以上，可实习3个月以上。
base北京或上海", 中文,2025-12-14,上海市/上海市/徐汇区 漕河泾现代园,https://www.shixiseng.com/intern/inn_2ztpcjdmvzgi?pcm=pc_SearchList
inn_x9wlyydjhddj,大数据开发实习生-国际化广告创意与品牌,400/天,字节跳动,北京,互联网/游戏/软件,本科,5天／周,实习3个月,周末双休；实习津贴,"工作内容：
1、参与营销产品数据开发，通过系统化整合广告、受众、媒体、内容等多维度数据帮助客户制定更高效的营销策略，驱动业务增长；
2、满足各区域市场差异化需求、行业特性和合规要求，支持广告业务标准化、高效落地；
3、负责核心数据链路的开发与优化，包括数据建模、任务开发、数据治理、调度和交付，支撑多维、异构、跨地域的数据流转；
4、深入理解业务逻辑，抽象业务需求，沉淀标准化的数据产品和数据资产；
5、持续优化数据质量、稳定性和交付效率，提升平台的可维护性和可扩展性；
6、与后端、产品、算法、前端等团队协作，将数据能力转化为客户可感知的高质量数据产品，助力客户决策。
职位要求：
1、2027届计算机、软件工程、数据相关专业本科及以上学历，扎实的数据结构、数据库和编程基础；
2、熟练掌握至少一种主流编程语言（如Java/Scala/Python）和大数据开发框架；
3、了解Hive/Spark/Flink等主流数据开发生态，具备数据建模、ETL开发、调度治理等实践经验；
4、良好的逻辑思维能力、沟通能力和团队合作意识，能主动推动问题解决；
5、每周可实习4天以上，可实习3个月以上。
工作地点：
北京/上海", 中文,2025-12-14,北京市/北京市/朝阳区 融中心A座,https://www.shixiseng.com/intern/inn_x9wlyydjhddj?pcm=pc_SearchList
inn_okqkpip0vuka,【日常实习】OPA-大数据开发-SZ,300-400/天,Shopee,深圳,互联网/游戏/软件,本科,5天／周,实习3个月,周末双休；地铁周边,"【职位描述】 DE

1. 负责shopee电商增长业务的基础数据建设工作，打造高效可用的离线数据系统；

2.负责基础数据维表，特征数据，业务报表等数据的开发工作；

3.负责业务数据的分析，充分理解业务逻辑，能够通过数据分析发现，解释，解决业务中潜在问题；



【任职要求】

1. 良好的代码能力，熟悉Python/java中的一种编程语言，了解C++/C/go编程；

2.良好的数据结构算法基础,有一定的离在线系统开发实践经验;

3.熟悉大数据计算平台架构，掌握Hadoop、HBase、Flink、Spark、Kafka，ES，ClickHouse等大数据开发工具中一种或几种；

4.对电商业务有一定了解，搜广推相关系统技术架构有一定了解；

5.具备较强的责任感，学习能力强，工作认真细心，具备较强合作精神；

6.具备较强的自我驱动力与抗压能力，并乐于不断尝试、追求业务突破；", 不限,2025-12-08,广东省/深圳市/南山区 Shopee深圳虾皮信息科技有限公司,https://www.shixiseng.com/intern/inn_okqkpip0vuka?pcm=pc_SearchList
inn_93ygioz9kdb3,运维平台开发实习生（大数据平台方向）,400-500/天,Shopee,深圳,互联网/游戏/软件,本科,5天／周,实习3个月,一对一导师,"【岗位职责】

1、在导师带领下参与电商平台大数据组件（如 Hadoop/Flink/Kafka/YARN/Hive 等）集群的管理平台开发；

2、负责平台化功能的设计与开发，如资源可视化、作业运维、组件健康检查、指标采集与告警等；

3、参与开发自动化运维工具链（部署、扩缩容、滚动升级、异常诊断等）；

4、学习并了解企业级大数据集群的运维模式、调度体系和稳定性保障机制；

5、学习并了解AI 如何在企业级大数据集群中应用，参与开发智能化工具和服务，应用于下一代SRE平台

【岗位要求】

27届，计算机相关专业本科或硕士在读，连续实习3个月以上；

具备一定编程基础，熟悉至少一种语言（Go / Python / Java 均可）；

熟悉 Linux 常用命令，有 Shell 脚本或服务器开发经验优先；

对大数据平台（如 Hadoop/Flink/Kafka/YARN/Hive 等）或运维智能化方向感兴趣；

具备良好的沟通能力、学习能力和团队合作意识。

【加分项】

使用或了解过 Kafka、Flink、Hadoop、YARN、Hive、Zookeeper 等组件；

有开发过 Web 控制台、监控平台或配置中心类项目经验；

有容器化经验（如 Docker、K8s）或 Prometheus/Grafana 使用经验者优先；", 中文,2025-12-08,广东省/深圳市/南山区 光启未来中心,https://www.shixiseng.com/intern/inn_93ygioz9kdb3?pcm=pc_SearchList
inn_ivlmcx6jvsuc,大数据开发实习生-国际商业化产品与技术,薪资面议,字节跳动,上海,互联网/游戏/软件,本科,5天／周,实习4个月,健身瑜伽；用户过亿；大牛带队；免费三餐；租房补贴,"职位描述:
ByteIntern：面向2026届毕业生（2025年9月-2026年8月期间毕业），为符合岗位要求的同学提供转正机会。
团队介绍：国际商业化产品与技术团队支持字节跳动国际产品的广告产品与变现技术。我们负责end2end的大型广告系统建设，为客户提供商业推广方式与方案。我们的团队遍布北京、上海、美国、新加坡等地，在这里你将有机会开阔自己的国际化视野，接触到全球领先的商业产品架构、模型和算法，并有机会参与并推动互联网广告行业的创新和变革。

1、面向字节跳动全球商业化产品，负责数据查询的开发工作，解决线上查询的性能和稳定性问题；
2、根据具体的业务需求，设计技术方案并实现高质量代码；
3、掌握完整的服务监控、治理、测试、发布流程，提升工程质量。 

职位要求:
1、2026届本科及以上学历在读，计算机、软件工程等相关专业优先；
2、良好的数据结构和算法功底；
3、熟悉Java、C/C++至少一种编程语言，熟悉Linux开发环境；
4、具备良好的问题分析与解决能力，有较强学习能力和逻辑思维能力。", 不限,2025-12-13,中国大陆上海市闵行区合川路2671号虹桥国际商务广场二期，邮编：201103,https://www.shixiseng.com/intern/inn_ivlmcx6jvsuc?pcm=pc_SearchList
inn_fusdbkll7p51,运维平台开发实习生（大数据平台方向）-深圳,400-500/天,Shopee,深圳,互联网/游戏/软件,本科,5天／周,实习3个月,Go；JAVA；Python,"运维平台开发实习生（大数据平台方向）

【岗位职责】

1、在导师带领下参与电商平台大数据组件（如 Hadoop/Flink/Kafka/YARN/Hive 等）集群的管理平台开发；

2、负责平台化功能的设计与开发，如资源可视化、作业运维、组件健康检查、指标采集与告警等；

3、参与开发自动化运维工具链（部署、扩缩容、滚动升级、异常诊断等）；

4、学习并了解企业级大数据集群的运维模式、调度体系和稳定性保障机制；

5、学习并了解AI 如何在企业级大数据集群中应用，参与开发智能化工具和服务，应用于下一代SRE平台

【岗位要求】

27届毕业生，计算机相关专业本科或硕士在读，连续实习3个月以上；

具备一定编程基础，熟悉至少一种语言（Go / Python / Java 均可）；

熟悉 Linux 常用命令，有 Shell 脚本或服务器开发经验优先；

对大数据平台（如 Hadoop/Flink/Kafka/YARN/Hive 等）或运维智能化方向感兴趣；

具备良好的沟通能力、学习能力和团队合作意识。

【加分项】

使用或了解过 Kafka、Flink、Hadoop、YARN、Hive、Zookeeper 等组件；

有开发过 Web 控制台、监控平台或配置中心类项目经验；

有容器化经验（如 Docker、K8s）或 Prometheus/Grafana 使用经验者优先；", 中文,2025-12-08,广东省/深圳市/南山区 光启未来中心,https://www.shixiseng.com/intern/inn_fusdbkll7p51?pcm=pc_SearchList
inn_xdal963mmojz,大数据实习生,薪资面议,东北证券,北京,金融/经济/投资/财会,硕士,4天／周,实习4个月,餐补；不加班；周末双休；远程实习,"【任职资格】：
1.硕士及以上学历
2. 重点院校或海外名校在读，应用统计/计算机/编程/金融相关专业优先
3. 具有数据库建设、Python、SQL使用经验的同学优先考虑

【工作职责】：
1.数据分析: 协助分析师处理和分析广泛的医药健康领域数据，为行业研究与量化模型的构建提供支持。
2.数据挖掘/建模: 利用Python等工具进行数据挖掘与特征提取，探索并建立数据模型，以提升医药行业的研究分析效率。
3.专题研究: 参与医药行业相关课题的研究，包括市场趋势、竞争格局、研发动态等方面的分析。

【工作地点】：
北京市西城区恒奥中心D座/线上远程", 中文,2026-01-27,北京市/北京市/西城区 恒奥中心D座,https://www.shixiseng.com/intern/inn_xdal963mmojz?pcm=pc_SearchList
inn_viazlbs09s8p,大模型数据标注,薪资面议,湖南前研,长沙,不限,不限,5天／周,实习6个月,可转正实习；节日福利；暑期实习,"招募高校：本科及以上
【招募公司】: 湖南前研时刻科技有限公司
【上班时间】:常规班次8小时制，（上班时间：早九晚六）午休1个半小时，周末大小休。
【专业需求】:文学/艺术学/哲学/心理学/电子科学与技术学/等相关专业
【工作地点】:地址3号线，阳光地铁口站口200米
【薪资】:5K+/月，签订三方协议。
【面试方式】:线下面试
【项目需求】：
1.沟通能力强，语言逻辑强，细心，对文字内容高度敏感，养宠或爱宠人士，对文学有热情
2.细心，理解力强，有良好的自驱力，能够主动提出建议并积极解决问题
【人员画像】：
1.有良好的文字修饰技巧和高同理心沟通表达能力，熟练掌握高情商聊天技巧，能够理解用户问题中的潜在意图并给到高度共情的回复。
2.有情感类文字创作或大模型文本类标注/RM/评测经验。
3.能够快速理解标注规范，准确执行，积极发现问题，提供自己对规则和理想态的见解。", 中文,2025-11-27,湖南省/长沙市/岳麓区 阳光-3口,https://www.shixiseng.com/intern/inn_viazlbs09s8p?pcm=pc_SearchList
inn_ziemunzc2rdi,大数据投研实习生,薪资面议,东北证券,北京,金融/经济/投资/财会,硕士,4天／周,实习4个月,一对一导师；周末双休；午餐食堂,"任职资格：
1. 硕士及以上学历
2. 重点院校或海外名校在读2024届、2025届、2026届毕业生，应用统计/计算机/编程/金融相关专业优先
3. 具有数据库建设、python、SQL、chatgpt、Gemini使用经验的同学优先考虑
4. 有明确二级市场从业意愿
5. 精通 Python，并熟练掌握至少一种主流深度学习框架（PyTorch, TensorFlow）。


【工作职责】
1. 协助带教老师针对金融市场海量、多模态的非结构化数据（如公告、研报、新闻、财报、电话会议、社交媒体数据等），设计高效的数据处理与特征提取方案。
2. 实现从数据分析到核心观点提炼、图表生成、报告撰写的自动化流程。
3. 在带教老师指导下针对投研板块进行研究
4. 带教老师发布的其他工作

【工作地点】
北京线下(可线上)", 中文,2026-01-27,北京市/北京市/西城区 恒奥中心D座,https://www.shixiseng.com/intern/inn_ziemunzc2rdi?pcm=pc_SearchList
inn_xilpcjhb5ckm,大数据行研实习生,薪资面议,华金证券,北京,金融/经济/投资/财会,硕士,4天／周,实习4个月,地铁周边；不加班,"任职资格：
1. 硕士及以上学历
2. 重点院校或海外名校在读，计算机/编程/金融等相关专业优先
3. 具有Python、SQL、R使用经验的同学优先考虑

【工作职责】
1. 基于大语言模型（LLM），设计并开发面向应用场景的核心代码。
2. 深入业务，完成数据提取与分析，为决策提供数据支持。
3. 负责代码的测试、性能分析和问题修复，持续优化代码质量。
4. 跟踪并研究AI前沿技术，参与技术预研，探索创新方向。

【工作地点】
北京市朝阳区建国路108号横琴人寿大厦17层（可远程）", 中文,2026-06-11,北京市/北京市/朝阳区 华金证券,https://www.shixiseng.com/intern/inn_xilpcjhb5ckm?pcm=pc_SearchList
inn_tu4oucmqys3v,数据开发实习生,80-100/天,苏豪汇升私募基金,南京,金融/经济/投资/财会,本科,5天／周,实习3个月,实习津贴；地铁周边,"岗位职责：
1、负责金融科技部日常文件的结构化处理及数据维护；
2、辅助数据开发工程师完成代码开发及文档编写
任职要求：
1、本科及以上，计算机、软件开发或金融工程相关专业，能够保证至少三个月且每周出勤不低于4天的线下实习；
2、熟悉MYSQL数据库，熟悉sql操作；
3、能够熟练编写python程序，具备python编码和调试能力，熟悉包括但不限于numpy,pandas等python三方包，熟悉正则表达式；
4、细致认真有责任心，具备良好的代码习惯。", 中文,2027-10-21,江苏省/南京市/秦淮区 兴业大厦 户部街15号(近常府街地铁站4号口),https://www.shixiseng.com/intern/inn_tu4oucmqys3v?pcm=pc_SearchList
inn_baivkjjlhn1t,大模型开发实习生,250-300/天,小红书,北京,互联网/游戏/软件,本科,5天／周,实习3个月,餐补,"工作职责
1、参与大模型在公司效能领域的应用落地，包括使用开源模型或者API搭建大模型应用架构、评测体系建设、智能体建设、智能CR、智能问答、代码补全、代码生成、测试用例生成等；
2、学习跟踪业界大模型在效能领域的最新进展，并探索大模型在公司效能方向的机会点和提升改进落地效果；
3、论文与技术写作：独立或合作撰写技术白皮书、内部技术报告、专利草案与对外论文（中英文）；
任职资格
1、计算机相关专业本科/硕士/博士在读，实习时间 3 个月以上、每周5天优先，实习表现优异者可提供转正机会；
2、有较好的计算机基础知识和编程功底，良好的数据结构基础；
2、对大语言模型(LLM)有兴趣，有相关实习和项目经验优先；
3、至少熟悉一门语言， 包括Java、Golang、C/C++、Python；
4、有强烈的好奇心，对前沿技术保持敏感。具有良好的沟通能力、学习能力和团队合作精神；
5、加分项：以第一作者或共同作者发表/投稿学术论文、技术白皮书、行业报告，有专利撰写经历", 中文,2026-10-10,北京市/北京市/朝阳区 城奥大厦,https://www.shixiseng.com/intern/inn_baivkjjlhn1t?pcm=pc_SearchList
